Make,Model,First Registration,Kilometrage,Body,Body Color,Body Color Original,Country version,Emission Class,Ffuel,Fuel,Gearing Type,Gears,Last Service Date,Nr. of Doors,Nr. of Seats,Offer Number,Paint Type,Previous Owners,Price,Status,Title,Type,Upholstery,Warranty,Weight,Ch,index,kW,km,link,transmission
Renault,ZOE,2019,"26,360 km",Sedans,Beige,Beige Métal,,,"Automatic, Electric",Electric,Automatic,,,5,,16703,,1,"€ 14,299.-",Used,We have developed a new application design for you:,Used,,12 months,,94 hp,47,69 kW,"26,360 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-electric-beige-91bf92e5-5905-4414-8ace-b80d6dfc382c,"Automatic, Electric"
BMW,i3,2018,"39,704 km",Sedans,Grey,GRIS F,,,"Automatic, Electric",Electric,Automatic,,,5,,20327,,1,"€ 22,900.-",Used,We have developed a new application design for you:,Used,,24 months,,173 hp,48,127 kW,"39,704 km",https://www.autoscout24.com//offers/bmw-i3-170ch-94ah-connected-atelier-electric-grey-3aa13440-830a-4ec4-aa30-5d11730a9c03,"Automatic, Electric"
Nissan,Leaf,2013,"34,500 km",Sedans,White,,,,"Automatic, Electric",Electric,Automatic,,,5,5,,,,"€ 9,000.-",Used,We have developed a new application design for you:,Used,,,"1,525 kg",109 hp,49,80 kW,"34,500 km",https://www.autoscout24.com//offers/nissan-leaf-electrique-electric-white-d83f51ae-d99e-506e-e053-0100007f6906,"Automatic, Electric"
Renault,ZOE,2018,"22,675 km",Compact,Black,Noir Etoilé,,,"Automatic, Electric",Electric,Automatic,,,5,,201015,,1,"€ 13,499.-",Used,We have developed a new application design for you:,Used,,,,94 hp,50,69 kW,"22,675 km",https://www.autoscout24.com//offers/renault-zoe-intens-charge-normale-r90-electric-black-8f98a64d-3280-4306-885d-12b4f31fbf9b,"Automatic, Electric"
Renault,ZOE,2016,"60,009 km",Sedans,,BLEU FOUDRE,,,Electric,Electric,,,,,,VO001038,,,"€ 9,400.-",Used,We have developed a new application design for you:,Used,,12 months,,- hp,51,- kW,"60,009 km",https://www.autoscout24.com//offers/renault-zoe-intens-electric-6665743d-40ce-42a2-bc8f-a70a5385327d,Electric
Hyundai,Ioniq,2019,"25,290 km",Sedans,White,BLANC,,,"Automatic, Electric",Electric,Automatic,,,5,,200134,,1,"€ 24,999.-",Used,We have developed a new application design for you:,Used,,,,122 hp,52,90 kW,"25,290 km",https://www.autoscout24.com//offers/hyundai-ioniq-electric-120ch-executive-electric-white-fdaac80f-95d4-4509-b4ca-795bf3543f3f,"Automatic, Electric"
Peugeot,2008,2020,"6,100 km",Other,,,,,"Automatic, Electric",Electric,Automatic,,,5,,740162,,,"€ 40,990.-",Used,We have developed a new application design for you:,Used,,,,- hp,53,- kW,"6,100 km",https://www.autoscout24.com//offers/peugeot-2008-e-2008-136ch-gt-electric-865ee228-3c85-4496-83b7-ffa587173383,"Automatic, Electric"
Renault,ZOE,2018,"58,093 km",Sedans,Grey,gris foncé,,,"Automatic, Electric",Electric,Automatic,,,5,,VO420345,,,"€ 11,990.-",Used,We have developed a new application design for you:,Used,,12 months,,90 hp,54,66 kW,"58,093 km",https://www.autoscout24.com//offers/renault-zoe-r90-intens-electric-grey-9c0eda6e-707d-415a-8aba-97e088f05976,"Automatic, Electric"
Renault,Kangoo,2015,"33,544 km",Van,White,blanc,,,"Automatic, Electric",Electric,Automatic,,,3,2,GW_AW419,,,"€ 7,788.-",Used,We have developed a new application design for you:,Used,,,,60 hp,55,44 kW,"33,544 km",https://www.autoscout24.com//offers/renault-kangoo-z-e-2pl-electric-white-e821eb02-0bc0-4ba0-b4eb-1af3229c0030,"Automatic, Electric"
Toyota,C-HR,2020,10 km,Off-Road/Pick-up,Blue,bleu,,,"Automatic, Electric",Electric,Automatic,,,5,5,11911511,,,"€ 31,058.-",Used,We have developed a new application design for you:,Used,,28 months,,184 hp,56,135 kW,10 km,https://www.autoscout24.com//offers/toyota-c-hr-hybride-mc19-2-0l-184ch-edition-electric-blue-5196c065-519f-41c0-8687-9d126f8c1488,"Automatic, Electric"
