,Make,Model,First Registration,Kilometrage (km),Body Color,Gearing Type,Nr. of Doors,Price (€),Status,Warranty (months),Horsepower (ch),Power (kW),Make-Model
177,Renault,ZOE,2017,8163,Black,Automatic,5,11990,Used,6 ,- ,- ,Renault ZOE
178,Peugeot,iOn,2012,18914,White,Automatic,5,6999,Used,3 ,67 ,49 ,Peugeot iOn
179,Renault,ZOE,2017,21105,White,Automatic,5,12499,Used,12 ,94 ,69 ,Renault ZOE
180,Renault,ZOE,2017,59121,White,Automatic,5,10600,Used,6 ,75 ,55 ,Renault ZOE
181,smart,forFour,2020,3000,Black,Automatic,5,21620,Used,24 ,83 ,61 ,smart forFour
182,Renault,ZOE,2014,31147,Black,Automatic,5,8390,Used,6 ,90 ,66 ,Renault ZOE
183,Renault,ZOE,2018,33753,Black,Automatic,5,14280,Used,12 ,110 ,81 ,Renault ZOE
184,BMW,i3,2017,8788,Grey,Automatic,5,24390,Used,24 ,- ,- ,BMW i3
185,Citroen,C-Zero,2018,14821,White,Automatic,5,11990,Used,,- ,- ,Citroen C-Zero
186,Renault,ZOE,2015,78574,Grey,Automatic,5,8490,Used,6 ,90 ,66 ,Renault ZOE
187,Nissan,Leaf,2016,49600,White,Automatic,5,10990,"Used, Full Service History",6 ,109 ,80 ,Nissan Leaf
188,smart,forTwo,2020,2800,Red,Automatic,2,23490,Used,24 ,83 ,61 ,smart forTwo
189,Renault,ZOE,2017,32127,White,Automatic,5,9990,Used,6 ,90 ,66 ,Renault ZOE
190,Renault,ZOE,2017,24665,,Automatic,5,12490,Used,6 ,90 ,66 ,Renault ZOE
191,BMW,i3,2020,6000,,Automatic,5,39980,Used,,173 ,127 ,BMW i3
192,Renault,ZOE,2018,13595,Grey,Automatic,5,14490,Used,,94 ,69 ,Renault ZOE
193,Renault,ZOE,2017,21105,White,Automatic,5,12499,Used,12 ,94 ,69 ,Renault ZOE
194,Renault,ZOE,2018,13595,Grey,Automatic,5,14490,Used,,94 ,69 ,Renault ZOE
195,BMW,i3,2016,22883,White,Automatic,5,20765,Used,24 ,- ,- ,BMW i3
196,Renault,ZOE,2017,40144,White,Automatic,5,10299,Used,12 ,94 ,69 ,Renault ZOE
197,Renault,ZOE,2017,36755,White,Automatic,5,9490,Used,6 ,94 ,69 ,Renault ZOE
